Master Key,Dataset Key,Segment Type,Channel,Hashtag,Handle,Post Content,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url
11,2710,KOL,Weibo,['#时尚热点#'],新浪时尚,#时尚热点#【多家快时尚品牌承诺不再使用马海毛】近日，动物保护组织PETA曝光了农场工作人员粗鲁剪羊毛的行为，残忍到可以称之为“虐待”。PETA呼吁时尚零售商对马海毛产品实施销售禁令，随后Zara、H&M、Topshop、Gap等快时尚品牌都响应了呼吁，宣布不再销售马海毛产品>>>O多家品牌承诺不再使用马海毛 ​​​​,16,17,47,2018-05-07 22:30,https://www.weibo.com/1765148101/GfAWRvUU9?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2711,KOL,Weibo,['#ナオ#'],haruru,[ LEE ] 18年6月号/ 时髦从脚上的凉拖开始！ /model: #ナオ# ​​​​,26,8,46,2018-05-08 21:20,https://www.weibo.com/1655852940/GfJUWBboO?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2712,KOL,Weibo,['#COSMO说早安#'],时尚COSMO,#COSMO说早安# 美好事物，无一不是创新的结果 ​​​​,7,1,71,2018-05-09 08:42,https://www.weibo.com/1518966617/GfOnMiWSS?from=page_1002061518966617_profile&wvr=6&mod=weibotime,
11,2713,KOL,Weibo,"['#时尚热点#', '#时尚奥斯卡#', '#metball#', '#MetGala#']",新浪时尚,#时尚热点# 【红毯直击】日日蕾哈娜@Rihanna_official 身穿Maison Margiela重工套装亮相#时尚奥斯卡# #metball# 2018红毯，大秀霸气女王范儿。#MetGala# 高清图集>>>ORihanna华丽变身亮相Met Gala ​​​​,7,23,49,2018-05-08 08:26,https://www.weibo.com/1765148101/GfEQUmsqJ?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2714,KOL,Weibo,['#渡边麻友#'],haruru,[ Numéro TOKYO ] 18年6月号#渡边麻友#/ 第24年的新境地 / ​​​​,17,19,43,2018-05-10 13:30,https://www.weibo.com/1655852940/GfZHaoGKk?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2715,KOL,Weibo,[],美妆星球种草酱,新木优子的颜真的很好看//@Cranberries_Dreams:也太美了//@日本买买酱:全程盯颜,24,4,51,2018-05-04 08:56,https://www.weibo.com/1758428237/Gf3l48vww?from=page_1005051758428237_profile&wvr=6&mod=weibotime,
11,2716,KOL,Weibo,[],小蛮蛮小,母亲节就是这周啦！赶在母亲节前，我终于整理出了礼物清单！看完说晚安(´-ωก`) ​​​​,3,23,53,2018-05-08 23:03,https://www.weibo.com/1678565893/GfKB0j0In?from=page_1005051678565893_profile&wvr=6&mod=weibotime,
11,2717,KOL,Weibo,[],haruru,今日份的smallredbook了解一下🍫 ​​​​,0,43,35,2018-05-07 21:01,https://www.weibo.com/1655852940/GfAmWlz2I?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2718,KOL,Weibo,"['#海报星图#', '#MetGala#']",海报时尚网,#海报星图# Gisele Bundchen&老公Tom Brady、Cindy Crawford&老公Rande Gerber、Irina Shayk & Bradley Cooper、George Clooney & Amal Clooney、Amanda Seyfried &老公Thomas Sadoski、Jennifer Lopez &男友A-Rod，#MetGala# 红毯大型虐狗时间 ​​​​,9,11,58,2018-05-08 10:43,https://www.weibo.com/1656851485/GfFKttkmw?from=page_1006061656851485_profile&wvr=6&mod=weibotime,
11,2719,KOL,Weibo,[],胖达panda桑,『MAC魅可』个性眼彩盘试色分享，外壳十分时尚个性，一盘包含多色眼影和细致热门高光，6种不同组合搭配，可以搭配出多种不同感觉眼妆。图8.9眼妆是原博主用豹纹盘画的。QWEEN SUPREME:一盘以闪耀感金棕色为主的眼影盘，日常用起来也很合适，因为加入了很多珠光色，也可以用在夜晚聚会等特殊场合。 ​​​​...展开全文c,11,4,62,2018-05-07 21:45,https://www.weibo.com/3505692194/GfAEU5dC1?from=page_1005053505692194_profile&wvr=6&mod=weibotime,
11,2720,KOL,Weibo,"['#明星事件#', '#余文乐当爸#', '#王棠云#', '#余文乐#']",新浪时尚,#明星事件#【#余文乐当爸#】据报道，@余文樂 妻子#王棠云#今日在香港一间私家医院剖腹产子。报道称王棠云在#余文乐#陪同下，约下午两点抵达医院，当时余文乐戴住墨镜出现，十分低调。到下午三点钟王棠云推入产房，由主诊医生操刀，顺利诞下男婴，恭喜阿乐>>>O余文乐升级做爸爸 ​​​​,2,5,70,2018-05-10 19:54,https://www.weibo.com/1765148101/Gg2dpdmOo?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2721,KOL,Weibo,['#宍户佑名#'],haruru,[ Precious ] 18年6月号/ 美丽的透明感 交给白衬衫 /model: #宍户佑名# ​​​​,28,7,42,2018-05-10 09:00,https://www.weibo.com/1655852940/GfXVzvgcN?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2722,Consumer,Weibo,[],MAYBE_NEXTYEAR,是的我们搬进了新家。周末的雅加达trip某人收获了一条伤腿，所以这个星期逛家居店的打算可能要被逛医院代替了。心情不佳，但是满庭院的鸡蛋花还是很治愈的对吗 ​​​​,3,11,63,2018-05-06 22:13,https://www.weibo.com/5610109171/GfrpJ1hNA?from=page_1005051756648217_profile&wvr=6&mod=weibotime,
11,2723,KOL,Weibo,"['#海报时尚网直击戛纳电影节#', '#戛纳电影节#', '#王嘉戛纳电影节#']",海报时尚网,#海报时尚网直击戛纳电影节# 当地时间8日凌晨，@王嘉Jevon 白色T恤搭配蓝色牛仔裤轻装抵达戛纳机场。面对记者，王嘉面带笑容，丝毫不见长途飞行的疲惫，年轻就是好 #戛纳电影节# #王嘉戛纳电影节# ​​​​,35,30,12,2018-05-08 15:52,https://www.weibo.com/1656851485/GfHM7eqDu?from=page_1006061656851485_profile&wvr=6&mod=weibotime,
11,2724,KOL,Weibo,[],戴莫利So_Great,今日最佳造型我颁给Rihanna👑,6,11,60,2018-05-08 12:42,https://www.weibo.com/1303910221/GfGwPvF4c?from=page_1005051303910221_profile&wvr=6&mod=weibotime,
11,2725,KOL,Weibo,"['#时尚热点#', '#时尚奥斯卡#', '#metball#', '#MetGala#']",新浪时尚,#时尚热点#【红毯直击】乔治·克鲁尼George Clooney携娇妻阿迈勒·克鲁尼亮相#时尚奥斯卡##metball#2018红毯。#MetGala#专题戳>>>O2018 Met Gala ​​​​,15,5,56,2018-05-08 12:46,https://www.weibo.com/1765148101/GfGyosE64?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2726,KOL,Weibo,"['#时尚热点#', '#雀巢收购星巴克#']",新浪时尚,#时尚热点#【#雀巢收购星巴克# 】5月7日，雀巢获得全球范围内在咖啡店以外销售星巴克零售和餐饮产品的永久性权利。雀巢将向星巴克支付71.5 亿美金现金。也就是说，星巴克旗下咖啡豆、速溶咖啡粉等产品在零售端和除星巴克门店外的餐饮渠道的收入从今往后都是雀巢的了>>>O雀巢收购星巴克零售餐饮业务 ​​​​,10,16,50,2018-05-08 12:25,https://www.weibo.com/1765148101/GfGpPtMyl?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2727,KOL,Weibo,"['#时尚热点#', '#时尚奥斯卡#', '#metball#', '#MetGala#']",新浪时尚,#时尚热点#【红毯直击】麦当娜一身黑裙亮相#时尚奥斯卡##metball#2018红毯，面纱加持更显神秘。#MetGala#专题戳>>>O2018 Met Gala ​​​​,17,6,53,2018-05-08 11:44,https://www.weibo.com/1765148101/GfG9gmSII?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2728,KOL,Weibo,"['#时尚热点#', '#时尚奥斯卡#', '#metball#', '#MetGala#']",新浪时尚,#时尚热点#【红毯直击】肯达尔·詹娜Kendall Jenner身穿白色薄纱露肩衬衫+喇叭裤亮相#时尚奥斯卡##metball#2018红毯，尽显纯洁仙风。#MetGala#专题戳>>>O2018 Met Gala ​​​​,5,9,62,2018-05-08 11:26,https://www.weibo.com/1765148101/GfG2dDSQ1?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2729,KOL,Weibo,[],在赤道吃冰棍儿,还记得这个礼盒嘛听说你们很喜欢这个包包！那就卷发原博摸这个包包，平伦原博摸包包里面的所有彩妆～你们觉得o不ok ¡查看图片,8,18,50,2018-05-05 21:10,https://www.weibo.com/1818820992/GfhzApbPc?from=page_1005051818820992_profile&wvr=6&mod=weibotime,
11,2730,KOL,Weibo,[],戴莫利So_Great,回复@御姐爱宅Nan:没在怕//@御姐爱宅Nan:你再这样下去……会掉粉的,3,29,44,2018-05-04 20:18,https://www.weibo.com/1303910221/Gf7NWw17g?from=page_1005051303910221_profile&wvr=6&mod=weibotime,
